Title,URL,Current Topics,Primary Topic,Secondary Topic,Content Type,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
Endoscope and Chlorhexidine Gluconate Crosswalks: Critical Guideline Review,https://industryperspectives.com/endoscope-and-chlorhexidine-gluconate-crosswalks-critical-guideline-review/,"Decontamination, Disinfection and Sterilization, HAIs: Types and Pathogens","Decontamination, Disinfection and Sterilization",HAIs: Types and Pathogens,Research/Whitepapers,CHG ( Chlorohexidine gluconate),Patient/process monitoring,Reprocessors,,
Lessons Learned: Questions and Concerns Regarding Safety of Endoscopes and Validity of Manufacturer Guidance,https://industryperspectives.com/lessons-learned-questions-and-concerns-regarding-safety-of-endoscopes-and-validity-of-manufacturer-guidance/,"Decontamination, Disinfection and Sterilization, HAIs: Types and Pathogens","Decontamination, Disinfection and Sterilization",HAIs: Types and Pathogens,Research/Whitepapers,CRE,Patient/process monitoring,Central Sterile processing,,
The Case for a Horizontal Approach: IPs Share their Success Story for VRE and MRSA,https://industryperspectives.com/the-case-for-a-horizontal-approach-ips-share-their-success-story-for-vre-and-mrsa/,HAIs: Types and Pathogens,HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,MRSA,VRE,Patient/process monitoring,,
A Family-Centered Care Model to Reduce Pediatric CAUTI,https://industryperspectives.com/a-family-centered-care-model-to-reduce-pediatric-cauti/,HAIs: Types and Pathogens,HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,CAUTI,Children’s Hospital,Patient/process monitoring,,
An Infection Preventionist’s Guide to Evaluating Research Studies,https://industryperspectives.com/an-infection-preventionists-guide-to-evaluating-research-studies/,Care Settings,Health Information Technology,"Decontamination, Disinfection and Sterilization",Research/Whitepapers,Screening,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Patient/process monitoring,Surveillance/ Reporting,Monitoring
Focus on LTC/Behavioral Health Outbreaks— Identify the Pathogen: Norovirus,https://industryperspectives.com/focus-on-ltcbehavioral-health-outbreaks-identify-the-pathogen-norovirus/,Care Settings,"Decontamination, Disinfection and Sterilization",HAIs: Types and Pathogens,Education/Training,Behavioral health,Long-term care,Patient/process monitoring,,
A Special – AHRQ Safety Program for Long-Term Care: CAUTI Supplement,https://industryperspectives.com/a-special-ahrq-safety-program-for-long-term-care-cauti-supplement/,Care Settings,HAIs: Types and Pathogens,"Decontamination, Disinfection and Sterilization",Education/Training,CAUTI,Long-term care,,,
Identify the Pathogen: Streptococcus Pyogenes,https://industryperspectives.com/identify-the-pathogen-streptococcus-pyogenes/,Care Settings,HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,Behavioral health,Long-term care,,,
Focus on Long-Term and Behavioral Health Outbreaks— Identify the Pathogen: Clostridium Perfringens,https://industryperspectives.com/focus-on-long-term-and-behavioral-health-outbreaks-identify-the-pathogen-clostridium-perfringens/,Care Settings,Environmental Infection,HAIs: Types and Pathogens,Research/Whitepapers,Behavioral health,Long-term care,,,
Identify the Pathogen: Coxiella Burnetii,https://industryperspectives.com/identify-the-pathogen-coxiella-burnetii/,Care Settings,HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,Long-term care,Behavioral health,,,
Multidisciplinary Team Approach to Prevent Healthcare-Associated Infections,https://industryperspectives.com/multidisciplinary-team-approach-to-prevent-healthcare-associated-infections/,"Decontamination, Disinfection and Sterilization",HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,Long-term care,Behavioral health,,,
Automated Detection Tool to Identify Surgical Site Infection,https://industryperspectives.com/automated-detection-tool-to-identify-surgical-site-infection/,Care Settings,HAIs: Types and Pathogens,Health Information Technology,Product Solutions,Screening,Medical Devices and Equipment,Patient/process monitoring,Surveillance/ Reporting,
Soap: The Science Behind It and The Changing Regulatory Landscape,https://industryperspectives.com/soap-the-science-behind-it-the-changing-regulatory-landscape-ahead-and-tools-and-tips-for-selecting-a-soap-thats-right-for-your-facility/,"Care Settings, Hand Hygiene, Sponsored Content",Hand Hygiene,"Decontamination, Disinfection and Sterilization",Product Solutions,Behavioral health,Antibacterial products,Skin Disinfection,,
Best Practices for Healthy Skin – Hand Hygiene and Skin Care Guide,https://industryperspectives.com/best-practices-for-healthy-skin-hand-hygiene-and-skin-care-guide/,"Care Settings, Hand Hygiene, Sponsored Content",Hand Hygiene,"Decontamination, Disinfection and Sterilization",Product Solutions,Behavioral health,Skin Disinfection,Antibacterial products,,
Human Papillomavirus – The New Challenge For Infection Prevention,https://industryperspectives.com/human-papillomavirus-the-new-challenge-for-infection-prevention/,"Decontamination, Disinfection and Sterilization, Health Information Technology, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,"Screening/testing for pathogen (MRSA, C. diff, etc.)",MRSA,Sterilizers,,
Setting a New Standard for Ultrasound Probe Disinfection,https://industryperspectives.com/setting-a-new-standard-for-ultrasound-probe-disinfection/,"Decontamination, Disinfection and Sterilization, Health Information Technology, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Screening,MRSA,Sterilizers,
Data Elements and Validation Methods Used for Electronic Surveillance of Health Care-Associated Infections: A Systematic Review,https://industryperspectives.com/data-elements-and-validation-methods-used-for-electronic-surveillance-of-health-care-associated-infections-a-systematic-review/,Health Information Technology,Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,Active surveillance testing – rapid testing,Surveillance/ Reporting,,,
An Electronic Surveillance Tool for Catheter – Associated Urinary Tract Infection in Intensive Care Units,https://industryperspectives.com/an-electronic-surveillance-tool-for-catheter-associated-urinary-tract-infection-in-intensive-care-units/,Health Information Technology,Health Information Technology,HAIs: Types and Pathogens,Product Solutions,Active surveillance testing – rapid testing,Surveillance/ Reporting,CAUTI,,
Surveillance Versus Clinical Adjudication: Differences Persist with New Ventilator – Associated Event Definition,https://industryperspectives.com/surveillance-versus-clinical-adjudication-differences-persist-with-new-ventilator-associated-event-definition/,Health Information Technology,Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,Active surveillance testing – rapid testing,Surveillance/ Reporting,Ventilation,,
Studies on Nurse Staffing and Health Care – Associated Infection: Methodologic Challenges and Potential Solutions,https://industryperspectives.com/studies-on-nurse-staffing-and-health-care-associated-infection-methodologic-challenges-and-potential-solutions/,Health Information Technology,Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,Surveillance/ Reporting,Long-term care,Acute care,,
Automated Tracking and Ordering of Precautions for Multidrug-Resistant Organisms,https://industryperspectives.com/automated-tracking-and-ordering-of-precautions-for-multidrug-resistant-organisms/,Health Information Technology,Health Information Technology,Environmental Infection,Research/Whitepapers,Surveillance/ Reporting,Screening,Active surveillance testing – rapid testing,"Screening/testing for pathogen (MRSA, C. diff, etc.)",
Review and Analysis of Existing Mobile Phone Applications for Health Care – Associated Infection Prevention,https://industryperspectives.com/review-and-analysis-of-existing-mobile-phone-applications-for-health-care-associated-infection-prevention/,Health Information Technology,Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,Medical Devices and Equipment,Monitoring,Surveillance/ Reporting,Screening,Monitoring
What Can We Learn About the Ebola Outbreak From Tweets?,https://industryperspectives.com/what-can-we-learn-about-the-ebola-outbreak-from-tweets/,Health Information Technology,Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,Surveillance/ Reporting,Monitoring,,,
Slow Adoption of Automated Infection Prevention Surveillance: Are Human Factors Contributing?,https://industryperspectives.com/slow-adoption-of-automated-infection-prevention-surveillance-are-human-factors-contributing/,Health Information Technology,Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,Surveillance/ Reporting,Monitoring,Active surveillance testing – rapid testing,,
Clinical Decision Support Systems and Infection Prevention: To Know Is Not Enough,https://industryperspectives.com/clinical-decision-support-systems-and-infection-prevention-to-know-is-not-enough/,Health Information Technology,Health Information Technology,Diagnostics,Research/Whitepapers,Screening,Active surveillance testing – rapid testing,Surveillance/ Reporting,Patient/process monitoring,
Glossary of Terms for Information Technology and Pearls of Wisdom for Implementation and Use,https://industryperspectives.com/glossary-of-terms-for-information-technology-and-pearls-of-wisdom-for-implementation-and-use/,Health Information Technology,Health Information Technology,Environmental Infection,Education/Training,Monitoring,Patient/process monitoring,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Screening,Active surveillance testing – rapid testing
APIC Advocacy on Health Information Technology,https://industryperspectives.com/apic-advocacy-on-health-information-technology/,Health Information Technology,Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,Screening,Surveillance/ Reporting,Active surveillance testing – rapid testing,Monitoring,Patient/process monitoring
Summary of State CRE Reporting Requirements,https://industryperspectives.com/summary-of-state-cre-reporting-requirements/,HAIs: Types and Pathogens,HAIs: Types and Pathogens,HAIs: Types and Pathogens,Education/Training,CRE,Surveillance/ Reporting,,,
Preventing Transmission of <em>Clostridium difficile</em> in Healthcare Settings,https://industryperspectives.com/preventing-transmission-of-clostridium-difficile-in-healthcare-settings/,HAIs: Types and Pathogens,HAIs: Types and Pathogens,"Decontamination, Disinfection and Sterilization",Education/Training,CDI (C. difficile),Surveillance/ Reporting,Active surveillance testing – rapid testing,Patient/process monitoring,
The Six C’s: Handling Soiled Linen in a Healthcare Environment,https://industryperspectives.com/the-six-cs-handling-soiled-linen-in-a-healthcare-environment/,"Care Settings, Environmental Infection, Sponsored Content",Environmental Infection,"Decontamination, Disinfection and Sterilization",Product Solutions,Laundry and Linen Management,Waste Management,Gowns,,
Handling Clean Linen in a Healthcare Environment,https://industryperspectives.com/handling-clean-linen-in-a-healthcare-environment/,"Care Settings, Environmental Infection, Sponsored Content",Environmental Infection,"Decontamination, Disinfection and Sterilization",Product Solutions,Laundry and Linen Management,Waste Management,Gowns,,
"Just Because You are Using a Disinfectant, Doesn’t Mean You are Disinfecting",https://industryperspectives.com/just-because-you-are-using-a-disinfectant-doesnt-mean-you-are-disinfecting/,"Decontamination, Disinfection and Sterilization, Environment of Care, Environmental Services, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Education/Training,Surface cleaning and disinfection,Surface Cleaners and disinfectants,Antibacterial products,Sterilizers,
Take Aim at Surgical Site Infections,https://industryperspectives.com/take-aim-at-surgical-site-infections/,"Care Settings, Environmental Infection, HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Product Solutions,CLABSI,SSI,CAUTI,CDI (C. difficile),
Comprehensive Guide to Building a High-Performance Infection Prevention and Control Program,https://industryperspectives.com/comprehensive-guide-to-building-a-high-performance-infection-prevention-and-control-program/,"Environmental Infection, Sponsored Content",Health Information Technology,Environmental Infection,Education/Training,Active surveillance testing – rapid testing,Surveillance/ Reporting,Screening,Monitoring,"Screening/testing for pathogen (MRSA, C. diff, etc.)"
Turning Data into Action for Automated Proactive HAI Surveillance,https://industryperspectives.com/turning-data-into-action-for-automated-proactive-hai-surveillance/,"HAIs: Types and Pathogens, Health Information Technology, Sponsored Content",Health Information Technology,Environmental Infection,Education/Training,Screening,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Active surveillance testing – rapid testing,Surveillance/ Reporting,Monitoring
Killing Bacteria on Painted Surfaces,https://industryperspectives.com/killing-bacteria-on-painted-surfaces/,"Environment of Care, Environmental Services, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,Antibacterial products,Medical Devices and Equipment,Surface cleaning and disinfection,Surface Cleaners and disinfectants,
EPA-Registered Latex Paint Kills Pathogenic Bacteria on Hard Nonporous Surfaces,https://industryperspectives.com/epa-registered-latex-paint-kills-pathogenic-bacteria-hard-nonporous-surfaces/,"Care Settings, Environmental Infection, Sponsored Content",Environmental Infection,"Decontamination, Disinfection and Sterilization",Product Solutions,Surface Cleaners and disinfectants,Antibacterial products,Medical Devices and Equipment,Surface cleaning and disinfection,
<span>CEU eligible</span> – It’s time to move on: Why we need to stop relying on direct observation and embrace Automated Hand Hygiene Monitoring as the new gold standard,https://industryperspectives.com/ceu-eligible-its-time-to-move-on/,"Hand Hygiene, Sponsored Content",Hand Hygiene,Health Information Technology,Product Solutions,Antibacterial products,Skin Disinfection,Monitoring,Patient/process monitoring,
Get Your Hands Dirty!,https://industryperspectives.com/get-your-hands-dirty-the-importance-of-hand-hygiene-by-pdi/,"Environment of Care, Hand Hygiene, Sponsored Content",Hand Hygiene,"Decontamination, Disinfection and Sterilization",Education/Training,Antibacterial products,Patient/process monitoring,Skin Disinfection,,
Differences between the 2016 WHO and ACS Guidelines for Prevention of SSI,https://industryperspectives.com/differences-2016-acs-guidelines-prevention-ssi/,"Care Settings, Sponsored Content",Environmental Infection,HAIs: Types and Pathogens,Research/Whitepapers,SSI,Surgical Suite,,,
What’s new? Strategies for Healthcare Environment Infection Prevention,https://industryperspectives.com/strategies-healthcare-environment-infection-prevention/,"Decontamination, Disinfection and Sterilization, Environmental Infection, Sponsored Content",Environmental Infection,"Decontamination, Disinfection and Sterilization",Research/Whitepapers,Surface cleaning and disinfection,Surface Cleaners and disinfectants,,,
"Treat the Patient, Not the Poo: C. difficile Clinician Education Tools",https://industryperspectives.com/treat-patient-not-poo-c-difficile-clinician-education-tools/,"Care Settings, Diagnostics, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Education/Training,CDI (C. difficile),Screening,Long-term care,Acute care,
The Truth About Disinfectant Contact Time,https://industryperspectives.com/the-truth-about-disinfectant-contact-time/,"Decontamination, Disinfection and Sterilization, Environmental Infection, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Research/Whitepapers,Surface cleaning and disinfection,Surface Cleaners and disinfectants,,,
LabID Reporting for C. difficile,https://industryperspectives.com/labid-reporting-c-difficile/,"Diagnostics, HAIs: Types and Pathogens, Health Information Technology, Sponsored Content",Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,CDI (C. difficile),"Screening/testing for pathogen (MRSA, C. diff, etc.)",Screening,Molecular Diagnostics,NHSN
Ultrasound Probe Infection Risk – A Call to Action,https://industryperspectives.com/ultrasound-probe-infection-risk-call-action/,"Decontamination, Disinfection and Sterilization, Health Information Technology, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Education/Training,Surface cleaning and disinfection,Surface Cleaners and disinfectants,Medical Devices and Equipment,,
Expansion of Ultrasound in Healthcare: Challenges and Solutions,https://industryperspectives.com/expansion-ultrasound-healthcare-challenges-solutions/,"Decontamination, Disinfection and Sterilization, Health Information Technology, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,Medical Devices and Equipment,Surface Cleaners and disinfectants,Surface cleaning and disinfection,,
<em>C. diff</em> Perspectives: Utilizing On-Demand Testing for Protocol-Driven Infection Prevention,https://industryperspectives.com/c-diff-perspectives-utilizing-demand-testing-protocol-driven-infection-prevention/,"Care Settings, HAIs: Types and Pathogens, Sponsored Content",Health Information Technology,HAIs: Types and Pathogens,Education/Training,CDI (C. difficile),Active surveillance testing – rapid testing,"Screening/testing for pathogen (MRSA, C. diff, etc.)",,
Managing CRE: From Diagnosis to Outbreak Management,https://industryperspectives.com/managing-cre-diagnosis-outbreak-management/,"Diagnostics, HAIs: Types and Pathogens, Sponsored Content",Diagnostics,HAIs: Types and Pathogens,Education/Training,Molecular Diagnostics,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Screening,CRE,
Implementing an Antimicrobial Stewardship Program: A Practical Guide,https://industryperspectives.com/implementing-antimicrobial-stewardship-program-practical-guide/,"Diagnostics, Health Information Technology, Sponsored Content",HAIs: Types and Pathogens,Health Information Technology,Education/Training,Surveillance/ Reporting,Behavioral health,Molecular Diagnostics,,
2017 HICPAC-CDC Guideline for Prevention of Surgical Site Infection: What the IP Needs to Know,https://industryperspectives.com/2017-hicpac-cdc-guideline-prevention-surgical-site-infection-ip-needs-know/,"Care Settings, HAIs: Types and Pathogens",HAIs: Types and Pathogens,Environmental Infection,Education/Training,SSI,Surgical Suite,,,
Prevention of Intraluminal Contamination of Intravascular Catheters,https://industryperspectives.com/prevention-intraluminal-contamination-intravascular-catheters/,"Care Settings, HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,Surveillance/ Reporting,Patient/process monitoring,Alcohol prep pads – sterility issues,,
Video – Expansion of Ultrasound in Healthcare: Challenges and Solutions for Infection Prevention in Sonography,https://industryperspectives.com/video-expansion-of-ultrasound-in-healthcare-challenges-and-solutions-for-infection-prevention-in-sonography/,"Decontamination, Disinfection and Sterilization, Sponsored Content","Decontamination, Disinfection and Sterilization",Health Information Technology,Research/Whitepapers,Reprocessors,Medical Devices and Equipment,,,
The Imperative of Mattress Cover Integrity for Survey Readiness and Infection Prevention,https://industryperspectives.com/imperative-mattress-cover-integrity-survey-readiness-infection-prevention/,"Environment of Care, Environmental Infection, Environmental Services, Sponsored Content",Environmental Infection,HAIs: Types and Pathogens,Product Solutions,Medical Devices and Equipment,Long-term care,Acute care,,
Povidone-iodine as an Alternative to Mupirocin for Nasal Decolonization,https://industryperspectives.com/povidone-iodine-alternative-mupirocin-nasal-decolonization-new-domain-antimicrobial-stewardship-patient-safety/,"HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Product Solutions,MRSA,SSI,"Screening/testing for pathogen (MRSA, C. diff, etc.)",,
Infographic: Reducing the risk of ECG cable & lead wire cross-contamination,https://industryperspectives.com/infographic-reducing-risk-ecg-cable-lead-wire-cross-contamination/,"Environment of Care, Environmental Infection, HAIs: Types and Pathogens, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,VRE,Medical Devices and Equipment,,,
The importance of contact time and visible wetness to ensure effective disinfection,https://industryperspectives.com/importance-contact-time-visible-wetness-ensure-effective-disinfection/,"Decontamination, Disinfection and Sterilization, Environmental Infection, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,Surface Cleaners and disinfectants,Surface cleaning and disinfection,,,
Rapid Molecular Diagnostics: Supporting CDC’s Four Core Actions to Fight Antimicrobial Resistance,https://industryperspectives.com/rapid-molecular-diagnostics-supporting-cdcs-four-core-actions-fight-antimicrobial-resistance/,"Diagnostics, HAIs: Types and Pathogens, Sponsored Content",Diagnostics,HAIs: Types and Pathogens,Education/Training,Molecular Diagnostics,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Active surveillance testing – rapid testing,,
"Diagnosing C. difficile: New Guidelines, Familiar Challenges",https://industryperspectives.com/diagnosing-c-difficile-new-guidelines-familiar-challenges/,"Diagnostics, HAIs: Types and Pathogens, Sponsored Content",Diagnostics,HAIs: Types and Pathogens,Research/Whitepapers,CDI (C. difficile),Surveillance/ Reporting,Active surveillance testing – rapid testing,"Screening/testing for pathogen (MRSA, C. diff, etc.)",
Bundled HAI Prevention: Comprehensive Strategies for Reducing Infections,https://industryperspectives.com/bundled-hai-prevention-comprehensive-strategies-reducing-infections/,"Decontamination, Disinfection and Sterilization, Environmental Infection, Sponsored Content",HAIs: Types and Pathogens,"Decontamination, Disinfection and Sterilization",Product Solutions,Medical Devices and Equipment,Surface Cleaners and disinfectants,Sterilizers,Surface cleaning and disinfection,
"Tru-D’s One Placement, One Cycle and One Solution Approach to UV Disinfection",https://industryperspectives.com/tru-ds-one-placement-one-cycle-one-solution-approach-uv-disinfection/,"Decontamination, Disinfection and Sterilization, Environmental Infection, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,Medical Devices and Equipment,Sterilizers,Surface Cleaners and disinfectants,Surface cleaning and disinfection,
All Hands On Deck,https://industryperspectives.com/all-hands-on-deck/,"Care Settings, Hand Hygiene, Sponsored Content",Hand Hygiene,Environmental Infection,Education/Training,Skin Disinfection,Antibacterial products,Behavioral health,,
Active Surveillance Testing with Targeted MRSA Decolonization,https://industryperspectives.com/active-surveillance-testing-targeted-mrsa-decolonization/,"Diagnostics, HAIs: Types and Pathogens, Sponsored Content",Health Information Technology,HAIs: Types and Pathogens,Research/Whitepapers,MRSA,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Surveillance/ Reporting,,
Curbing the Infection Risk of Healthcare Garments,https://industryperspectives.com/curbing-infection-risk-healthcare-garments/,"Decontamination, Disinfection and Sterilization, Environmental Infection, Sponsored Content",Environmental Infection,"Decontamination, Disinfection and Sterilization",Product Solutions,Laundry and Linen Management,PPE – Personal protective equipment,,,
Antimicrobial Prescribing: Optimization through Drug Dosing and MIC,https://industryperspectives.com/antimicrobial-prescribing-optimization-drug-dosing-mic/,"Diagnostics, Sponsored Content","Decontamination, Disinfection and Sterilization",Health Information Technology,Education/Training,Monitoring,Patient/process monitoring,,,
Emerging Impact of Biofilms on the Environment of Care,https://industryperspectives.com/emerging-impact-of-biofilms-on-the-environment-of-care/,"Environmental Infection, Environmental Services, Sponsored Content",Environmental Infection,Health Information Technology,Product Solutions,Water Management,Medical Devices and Equipment,Surface Cleaners and disinfectants,Surface cleaning and disinfection,
Presurgical Molecular Testing for Staphylococcal Nasal Colonization,https://industryperspectives.com/presurgical-molecular-testing-for-staphylococcal-nasal-colonization/,"Care Settings, HAIs: Types and Pathogens",Diagnostics,HAIs: Types and Pathogens,Research/Whitepapers,Molecular Diagnostics,MRSA,"Screening/testing for pathogen (MRSA, C. diff, etc.)",Active surveillance testing – rapid testing,
Trending Topics in C. difficile Diagnosis and Reporting,https://industryperspectives.com/trending-topics-in-c-difficile-diagnosis-and-reporting/,"C Diff, Care Settings, HAIs: Types and Pathogens, Sponsored Content",Diagnostics,HAIs: Types and Pathogens,Research/Whitepapers,CDI (C. difficile),"Screening/testing for pathogen (MRSA, C. diff, etc.)",Active surveillance testing – rapid testing,,
2018 APIC Symposium – Traceability of Processed Devices: Application to Ultrasound Probes,https://industryperspectives.com/traceability-of-processed-devices-application-to-ultrasound-probes/,"Decontamination, Disinfection and Sterilization, Sponsored Content","Decontamination, Disinfection and Sterilization",HAIs: Types and Pathogens,Research/Whitepapers,CDI (C. difficile),"Screening/testing for pathogen (MRSA, C. diff, etc.)",Molecular Diagnostics,,
2018 APIC Symposium – Challenges in Ultrasound Infection Prevention,https://industryperspectives.com/2018-apic-symposium-challenges-in-ultrasound-infection-prevention/,"Decontamination, Disinfection and Sterilization, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Education/Training,Medical Devices and Equipment,Patient/process monitoring,Antibacterial products,Sterilizers,
2018 APIC Symposium – Launch of an Infection Preventionist Toolkit for Ultrasound,https://industryperspectives.com/2018-apic-symposium-launch-of-an-infection-preventionist-toolkit-for-ultrasound/,"Health Information Technology, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Education/Training,Medical Devices and Equipment,Patient/process monitoring,Antibacterial products,Sterilizers,
Introducing Clorox Healthcare VersaSure Alcohol-Free Cleaner Disinfectant Wipes,https://industryperspectives.com/introducing-clorox-healthcare-versasure-alcohol-free-cleaner-disinfectant-wipes/,"Decontamination, Disinfection and Sterilization, Sponsored Content","Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,Surface Cleaners and disinfectants,Surface cleaning and disinfection,,,
Infographic: Impact of MRSA/S. aureus Colonization on SSIs,https://industryperspectives.com/infographic-impact-of-mrsa-s-aureus-colonization-on-ssis/,"Health Information Technology, Sponsored Content",HAIs: Types and Pathogens,Health Information Technology,Product Solutions,Molecular Diagnostics,MRSA,SSI,Surgical Suite,"Screening/testing for pathogen (MRSA, C. diff, etc.)"
Meta-Analysis Indicates Hydrofiber® Dressings May Lower Post-Op Infection Risks After Total Joint Arthroplasty,https://industryperspectives.com/meta-analysis-indicates-hydrofiber-dressings-may-lower-post-op-infection-risks-after-total-joint-arthroplasty/,"Care Settings, HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Product Solutions,PPE – Personal protective equipment,Surgical Suite,Antibacterial products,,
Implementing single-patient-use ECG cable & lead wire systems to reduce surgical site infections,https://industryperspectives.com/implementing-single-patient-use-ecg-cable-lead-wire-systems-to-reduce-surgical-site-infections/,"Environment of Care, Environmental Infection, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Product Solutions,Medical Devices and Equipment,SSI,Surgical Suite,,
Laundry Tour Planner for Healthcare Professionals,https://industryperspectives.com/laundry-tour-planner-for-healthcare-professionals/,"Environmental Infection, Environmental Services, Laundry and Linen Management",Environmental Infection,"Decontamination, Disinfection and Sterilization",Product Solutions,Laundry and Linen Management,PPE – Personal protective equipment,Medical Devices and Equipment,,
